run,measurement,repetition,module,name,value
queueLengthConsistencyTest-3-20260130-15:38:25-88214,0.016s,3,System.oracle,AvgQLStat:mean,550.16977777778
queueLengthConsistencyTest-4-20260130-15:38:26-88215,0.016s,4,System.oracle,AvgQLStat:mean,559.59288888889
queueLengthConsistencyTest-5-20260130-15:38:26-88216,0.016s,5,System.oracle,AvgQLStat:mean,561.25688888889
queueLengthConsistencyTest-6-20260130-15:38:26-88217,0.016s,6,System.oracle,AvgQLStat:mean,546.54333333333
queueLengthConsistencyTest-7-20260130-15:38:26-88219,0.016s,7,System.oracle,AvgQLStat:mean,552.19377777778
queueLengthConsistencyTest-8-20260130-15:38:27-88220,0.016s,8,System.oracle,AvgQLStat:mean,559.34888888889
queueLengthConsistencyTest-9-20260130-15:38:27-88223,0.016s,9,System.oracle,AvgQLStat:mean,551.75711111111
queueLengthConsistencyTest-10-20260130-15:38:27-88227,0.016s,10,System.oracle,AvgQLStat:mean,547.98444444444
queueLengthConsistencyTest-11-20260130-15:38:27-88231,0.016s,11,System.oracle,AvgQLStat:mean,554.42822222222
queueLengthConsistencyTest-12-20260130-15:38:27-88235,0.016s,12,System.oracle,AvgQLStat:mean,552.34222222222
queueLengthConsistencyTest-13-20260130-15:38:28-88236,0.016s,13,System.oracle,AvgQLStat:mean,556.61933333333
queueLengthConsistencyTest-14-20260130-15:38:28-88237,0.016s,14,System.oracle,AvgQLStat:mean,555.55488888889
queueLengthConsistencyTest-15-20260130-15:38:28-88238,0.016s,15,System.oracle,AvgQLStat:mean,543.24111111111
queueLengthConsistencyTest-16-20260130-15:38:28-88239,0.016s,16,System.oracle,AvgQLStat:mean,556.18066666667
queueLengthConsistencyTest-17-20260130-15:38:28-88240,0.016s,17,System.oracle,AvgQLStat:mean,557.35911111111
queueLengthConsistencyTest-18-20260130-15:38:29-88241,0.016s,18,System.oracle,AvgQLStat:mean,551.01977777778
queueLengthConsistencyTest-19-20260130-15:38:29-88242,0.016s,19,System.oracle,AvgQLStat:mean,553.22977777778
queueLengthConsistencyTest-20-20260130-15:38:29-88243,0.016s,20,System.oracle,AvgQLStat:mean,551.42644444444
queueLengthConsistencyTest-21-20260130-15:38:29-88244,0.016s,21,System.oracle,AvgQLStat:mean,555.66666666667
queueLengthConsistencyTest-22-20260130-15:38:29-88245,0.016s,22,System.oracle,AvgQLStat:mean,548.43266666667
queueLengthConsistencyTest-23-20260130-15:38:30-88246,0.016s,23,System.oracle,AvgQLStat:mean,550.28488888889
queueLengthConsistencyTest-24-20260130-15:38:30-88247,0.016s,24,System.oracle,AvgQLStat:mean,553.96866666667
queueLengthConsistencyTest-25-20260130-15:38:30-88248,0.016s,25,System.oracle,AvgQLStat:mean,553.288
queueLengthConsistencyTest-26-20260130-15:38:30-88249,0.016s,26,System.oracle,AvgQLStat:mean,557.45177777778
queueLengthConsistencyTest-27-20260130-15:38:30-88250,0.016s,27,System.oracle,AvgQLStat:mean,558.66333333333
queueLengthConsistencyTest-28-20260130-15:38:31-88251,0.016s,28,System.oracle,AvgQLStat:mean,546.75044444444
queueLengthConsistencyTest-29-20260130-15:38:31-88252,0.016s,29,System.oracle,AvgQLStat:mean,553.61733333333
queueLengthConsistencyTest-30-20260130-15:38:31-88254,0.016s,30,System.oracle,AvgQLStat:mean,548.06511111111
queueLengthConsistencyTest-31-20260130-15:38:31-88256,0.016s,31,System.oracle,AvgQLStat:mean,556.09177777778
queueLengthConsistencyTest-32-20260130-15:38:32-88259,0.016s,32,System.oracle,AvgQLStat:mean,559.58866666667
queueLengthConsistencyTest-33-20260130-15:38:32-88260,0.016s,33,System.oracle,AvgQLStat:mean,552.98133333333
queueLengthConsistencyTest-34-20260130-15:38:32-88261,0.016s,34,System.oracle,AvgQLStat:mean,558.65177777778
